timestamp,job_title,agency,source,resume_summary
2026-05-28T21:45:55,Business Analyst,HDFC securities,LinkedIn,"Results-driven Business Analyst with experience in requirements analysis, stakeholder communication, and process improvement, seeking a remote role at HDFC Securities where I can leverage my analytical and problem-solving skills to drive business growth. With a strong background in data interpretation and documentation, I am confident in my ability to deliver high-quality results in a remote setting. My expertise in SQL, Excel, and dashboard reporting enables me to provide actionable insights and improve business operations. I am excited to bring my skills and experience to a dynamic team like HDFC Securities and contribute to the company's success."
2026-05-28T21:56:48,Senior Engineer AI,Litmus7,LinkedIn,"As a seasoned Senior AI Engineer with 6+ years of experience in designing and shipping production-grade AI systems, I possess a unique blend of technical expertise and collaborative skills. With a strong background in Large Language Models, Retrieval-Augmented Generation, and Agentic AI, I excel in requirements analysis, stakeholder communication, and process improvement. My expertise in data interpretation, documentation, and delivery coordination enables me to drive projects from conception to delivery, ensuring seamless execution and high-quality outcomes. I am confident in my ability to leverage my skills and experience to make a significant impact at Litmus7 as a Senior Engineer AI. With a proven track record of delivering high-impact projects and improving workflow efficiency, I am well-equipped to drive success in this role."
2026-05-28T22:02:12,Senior AI Engineer,Wizr AI,LinkedIn,"As a seasoned Senior AI Engineer with 6+ years of experience in designing and shipping production-grade AI systems, I possess a deep understanding of AI engineering principles, requirements analysis, and stakeholder communication. With a strong background in machine learning, deep learning, and natural language processing, I have a proven track record of delivering AI projects that drive business value. My expertise in process improvement, data interpretation, and documentation enables me to drive efficiency and effectiveness in AI engineering teams. I am excited to leverage my skills and experience to drive innovation and growth at Wizr AI. With a strong technical foundation and excellent communication skills, I am confident in my ability to collaborate with cross-functional teams and deliver high-quality AI solutions."
2026-05-28T22:26:23,Senior Ai Engineer roles at google,google,Company Career Search,"As a seasoned Senior AI Engineer with 6+ years of experience in designing and shipping production-grade AI systems, I possess deep expertise in Large Language Models (LLMs), Retrieval-Augmented Generation (RAG), and distributed backend engineering. With a strong background in system design, microservices, MLOps, and cloud-native deployment on AWS, I have a proven track record of delivering high-impact AI solutions that drive business value. My expertise in natural language processing, machine learning algorithms, and computer science fundamentals makes me an ideal fit for a Senior AI Engineer role at Google. I am excited to leverage my technical skills and experience to contribute to the development of innovative AI products and services. With a strong passion for staying up-to-date with industry trends and advancements in AI, I am confident in my ability to make a meaningful impact at Google."
2026-05-28T22:27:18,Senior Ai Engineer Specialist,AI Ops Studio,Hirist,"As a seasoned Senior AI Engineer with 6+ years of experience in designing and shipping production-grade AI systems, I possess deep expertise in LLM architectures, Retrieval-Augmented Generation (RAG), and distributed backend engineering. With a strong track record of delivering measurable business outcomes, I have achieved 35% retrieval accuracy gains, 40% hallucination reduction, and 30% latency optimization in production. My technical expertise spans AI/LLM, ML/data, backend, cloud/devops, and databases, with a strong foundation in system design, microservices, MLOps, and cloud-native deployment on AWS. I am well-versed in stakeholder communication, analysis, documentation, reporting, automation, delivery coordination, and driving business outcomes through AI solutions."
2026-05-28T22:52:05,"Senior Software Engineer,Machine Learning Content Platform",Roku,LinkedIn,"As a seasoned Senior AI Engineer with 6+ years of experience in designing and shipping production-grade AI systems, I possess deep expertise in LLM architectures, Retrieval-Augmented Generation (RAG), and distributed backend engineering. With a strong foundation in software engineering principles and practices, I have a proven track record of delivering high-impact projects, including a production LLM-powered enterprise knowledge and search platform, and a demand forecasting platform using classical ML. My technical expertise in machine learning, natural language processing, and cloud computing, combined with excellent communication and collaboration skills, make me an ideal candidate for the Senior Software Engineer, Machine Learning Content Platform role at Roku. I am excited to leverage my skills and experience to drive innovation and growth in a fast-paced, agile development environment. With a strong passion for AI and machine learning, I am confident in my ability to make significant contributions to the company."
2026-05-28T22:52:09,"Senior Software Engineer, Machine Learning",Roku,LinkedIn,"As a seasoned Senior AI Engineer with 6+ years of experience in designing and shipping production-grade AI systems, I possess deep expertise in LLM architectures, Retrieval-Augmented Generation (RAG), and distributed backend engineering. With a strong background in machine learning, software engineering, and cross-functional team collaboration, I am confident in my ability to drive analysis, communication, documentation, and reporting efforts. My expertise in AI engineering, problem-solving, and execution skills make me an ideal fit for the Senior Software Engineer, Machine Learning role at Roku. I have a proven track record of delivering high-impact projects, including a production-grade autonomous incident response agent and an end-to-end RAG system. With my strong technical skills and experience working in collaborative environments, I am well-equipped to make significant contributions to the Roku team."
2026-05-28T23:06:53,"Senior Software Engineer,  Machine learning- Search",Roku,LinkedIn,"As a seasoned Senior AI Engineer with 6+ years of experience in designing and shipping production-grade AI systems, I am excited to apply for the Senior Software Engineer, Machine Learning - Search role at Roku. With deep expertise in LLM architectures, Retrieval-Augmented Generation (RAG), and distributed backend engineering, I am confident in my ability to analyze, communicate, and deploy machine learning models for search functionality."
2026-05-28T23:11:28,Senior Ai Engineer careers search - Google,Google,Company Career Search,"Highly accomplished Senior AI Engineer with 6+ years of experience in designing and shipping production-grade AI systems, including Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) systems. Proven track record of improving retrieval accuracy, reducing hallucination, and optimizing latency in production environments. Skilled in system design, microservices, MLOps, and cloud-native deployment on AWS, with a strong understanding of search algorithms and optimization techniques."
2026-05-28T23:11:36,Senior Ai Engineer roles at Google,Google,Company Career Search,"Highly accomplished Senior AI Engineer with 6+ years of experience in designing, developing, and deploying production-grade AI systems at enterprise scale. Proven expertise in Large Language Models (LLMs), Retrieval-Augmented Generation (RAG), and distributed backend engineering. Adept in leading cross-functional teams, mentoring junior engineers, and driving AI engineering best practices."
